#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime 
EM|AB114|49.082001|-113.307999|1317.5|Cardston, Canada|2008-08-26T20:36:00.0000|2008-09-11T21:02:18.0000
EM|AB115|49.082001|-112.370003|1136.7|Milk River Bridge, Canada|2008-08-26T17:53:21.0000|2008-09-11T19:51:43.0000
EM|AB116|49.169998|-111.775002|947.2|Allerston, Canada|2008-08-27T02:27:58.0000|2008-09-11T17:52:07.0000
EM|AB117|49.124001|-110.736|989.9|Manyberries, Alberta, Canada|2008-08-25T18:19:46.0000|2008-09-11T16:01:14.0000
EM|AB213|49.668999|-114.205002|1361.5|Lundbreck, Alberta, Canada|2008-08-28T19:01:11.0000|2008-09-11T23:21:22.0000
EM|AB313|50.194|-114.209999|1331.3|Chain Lakes, Canada|2008-08-27T19:29:08.0000|2008-09-12T00:29:12.0000
EM|AB314|50.294998|-113.321999|986.4|Vulcan, Canada|2008-08-24T22:01:03.0000|2008-09-11T00:49:57.0000
EM|AB315|50.318001|-112.399002|814.7|Lomond, Canada|2008-08-24T19:18:31.0000|2008-09-03T01:54:33.0000
EM|AB316|50.423|-111.625|746.5|Tilley, Alberta, Canada|2008-08-23T22:35:21.0000|2008-09-10T18:20:25.0000
EM|AB317|50.155998|-110.862|786.5|Redcliff, Canada|2008-08-24T16:04:53.0000|2008-09-10T19:52:03.0000
EM|AB415|50.932999|-112.730003|874.4|Makepeace, Alberta, Canada|2008-08-23T19:24:24.0000|2008-09-10T15:57:43.0000
EM|AB513|51.589001|-114.085999|1040.7|Carstairs, Canada|2008-08-30T22:43:04.0000|2008-09-12T15:11:01.0000
EM|AB613|52.217999|-114.023003|931.5|Red Deer, Canada|2008-08-31T18:59:21.0000|2008-09-12T17:09:36.0000
EM|AB614|52.346001|-113.273003|797.2|Coghill, Canada|2008-08-31T16:41:57.0000|2008-09-09T19:48:57.0000
EM|AB713|52.909|-113.861|881.0|Falun, Canada|2008-09-15T23:43:55.0000|2008-09-26T18:33:53.0000
EM|AB714|52.909|-113.087997|749.2|Lindholm, Canada|2008-08-31T22:14:47.0000|2008-09-12T19:09:42.0000
EM|AB715|53.220001|-112.528|708.1|Black Nugget Lake, Canada|2010-03-02T17:33:51.0000|2010-04-09T17:45:21.0000
EM|AB716|52.858002|-112.434998|704.4|Camrose, Canada|2010-07-09T23:33:01.0000|2010-08-04T16:13:38.0000
EM|AB717|52.945999|-111.913002|822.4|Viking, Canada|2010-06-11T19:10:51.0000|2010-07-17T00:52:28.0000
EM|AB813|53.435001|-114.088997|727.8|Stony Plain, Canada|2008-09-15T21:12:21.0000|2008-10-15T23:55:10.0000
EM|ALW48|34.684|-87.017|177.9|Browns Ferry, AL, USA|2015-06-18T15:00:36.0000|2015-07-09T13:45:10.0000
EM|ALW49|34.804|-86.183|493.1|Jacobs Mountain, AL, USA|2015-06-05T23:03:39.0000|2015-07-20T13:39:23.0000
EM|ALX49|34.128|-86.352|253.5|BIG MUDD CREEK, AL, USA|2015-09-19T17:43:15.0000|2015-09-26T20:33:31.0000
EM|ALX50|33.979|-85.498|270.7|Rock Quarry Mountain, AL, USA|2015-07-23T00:34:45.0000|2015-08-13T13:43:58.0000
EM|ALY50|33.397|-85.885|461.5|Talladega Creek, AL, USA|2015-07-23T19:49:58.0000|2015-08-13T15:47:26.0000
EM|ALZ51|32.801|-85.356|205.0|Chambers County, AL, USA|2015-08-14T20:22:36.0000|2015-09-04T18:23:17.0000
EM|ARU43|36.341|-90.331|142.4|Big Creek, AR, USA|2014-05-30T14:35:25.0000|2014-06-21T17:44:29.0000
EM|BC009|49.287998|-117.674004|728.5|Castlegar, Canada|2009-06-08T18:20:54.0000|2009-07-13T14:37:18.0000
EM|BC010|49.166|-116.651001|849.9|Creston, Canada|2009-06-07T18:40:34.0000|2009-07-13T23:09:29.0000
EM|BC109|49.737|-117.494003|749.0|Slocan, Canada|2009-06-08T20:49:28.0000|2009-06-14T21:43:35.0000
EM|BC110|49.716|-116.774002|915.6|Crawford Bay, Canada|2009-06-07T21:15:34.0000|2009-07-13T21:13:03.0000
EM|BC210|49.928001|-116.969002|1225.8|Kaslo, Canada|2009-06-06T21:20:00.0000|2009-07-13T18:26:30.0000
EM|BC309|50.400002|-117.888|642.1|Upper Arrow Lake, Canada|2009-06-08T23:22:27.0000|2009-07-12T16:31:31.0000
EM|BC310|50.369999|-117.014999|1417.2|Howser, Canada|2009-06-06T18:36:23.0000|2009-07-13T00:39:54.0000
EM|BC409|50.763|-117.745003|563.3|Beaton, Canada|2009-06-09T17:40:42.0000|2009-06-19T17:08:01.0000
EM|BC410|50.82|-117.184998|928.4|Duncan River, Canada|2009-06-05T22:43:20.0000|2009-07-12T21:48:55.0000
EM|CAM01|41.875999|-124.190002|1.2|Earl Lake, CA, USA|2007-08-31T21:51:38.0000|2007-09-20T18:42:08.0000
EM|CAM02|41.608002|-123.403|1049.5|Klamath Falls, CA, USA|2010-10-04T23:41:58.0000|2010-10-23T19:21:38.0000
EM|CAM03|41.491001|-122.627998|1633.4|Macks Gulch, CA, USA|2010-07-09T20:45:59.0000|2010-08-19T15:43:43.0000
EM|CAM04|41.463001|-121.692001|1497.1|Snag Hill, CA, USA|2010-07-15T20:59:13.0000|2010-07-28T23:56:19.0000
EM|CAM04|41.415001|-121.833|1517.0|Snag Hill, CA, USA|2010-09-09T22:12:20.0000|2010-10-05T17:08:44.0000
EM|CAM05|41.411999|-120.867996|1344.9|Portuguese Ridge, CA, USA|2010-07-01T22:48:38.0000|2010-08-19T22:11:15.0000
EM|CAM06|41.530998|-120.021004|1381.8|Surprise Valley, CA, USA|2010-09-12T19:03:49.0000|2010-10-06T20:14:21.0000
EM|CAM94|41.462002|-121.692001|1496.4|Snag Hill, CA, USA|2010-07-15T20:59:13.0000|2010-09-08T17:36:55.0000
EM|CAN01|41.167999|-124.091003|173.2|Redwood Park, CA, USA|2010-07-07T21:39:53.0000|2010-08-04T18:46:28.0000
EM|CAN02|40.866001|-123.448997|317.9|Happy Camp, CA, USA|2010-08-15T01:45:20.0000|2010-10-02T20:10:02.0000
EM|CAN03|41.027|-121.971001|883.2|Dog Creek Mt, CA, USA|2010-07-28T20:53:43.0000|2010-09-07T16:29:37.0000
EM|CAN03|40.900002|-122.505997|1094.4|Dog Creek Mt., CA, USA|2011-06-10T19:09:51.0000|2011-07-02T17:32:53.0000
EM|CAN04|40.819|-121.571999|1347.3|Burney Mt, CA, USA|2010-07-02T23:52:29.0000|2010-09-22T15:48:34.0000
EM|CAN05|40.762001|-120.793999|6104.6|Cleghorn Reservoir, CA, USA|2010-07-07T20:23:48.0000|2010-08-03T22:22:08.0000
EM|CAN06|40.785999|-120.109001|1676.2|Painters Creek, CA, USA|2010-09-12T11:50:56.0000|2010-10-06T16:32:43.0000
EM|CAO01|40.627998|-123.934998|698.0|Gift Ranch, CA, USA|2010-06-02T02:01:32.0000|2010-06-30T16:44:38.0000
EM|CAO02|40.466999|-123.18|768.8|Philpot Creek, California, USA|2010-08-05T21:30:49.0000|2010-08-28T18:11:12.0000
EM|CAO03|40.292999|-122.514999|233.4|Packer Gulch, CA, USA|2010-07-03T22:05:26.0000|2010-08-05T16:50:22.0000
EM|CAO04|40.216999|-121.523003|1589.5|Collins Pine, CA, USA|2010-07-06T19:37:31.0000|2010-08-03T17:27:10.0000
EM|CAO05|40.247002|-120.704002|1732.9|Taylor Lake, CA, USA|2010-07-08T20:40:58.0000|2010-08-20T18:05:05.0000
EM|CAO06|40.104|-120.014999|1211.5|Honey Lake Valley, CA, USA|2010-09-21T21:20:54.0000|2010-11-09T18:42:23.0000
